time_stamp,humidity,temperature,pressure,voc,pm2.5_alt,0.3_um_count,0.5_um_count,1.0_um_count,2.5_um_count,5.0_um_count,10.0_um_count
1716519000,43.8,97.0,975.162,84.518,68.6,68.6,13266.484,3940.557,732.1189999999999,51.144,11.472
1712728200,48.0,97.0,973.778,61.798,8.3,8.3,1843.124,540.181,75.524,2.872,0.904
1715223600,45.667,97.0,976.617,68.197,12.1,12.1,2864.2015,823.4935,107.742,6.551500000000001,2.3685
1715064600,42.0,97.0,973.594,98.826,37.9,37.9,7564.772999999999,2256.116,418.318,50.936,11.346
1716262800,41.2,97.0,974.8,90.156,19.1,19.1,4156.982,1212.4160000000002,196.469,23.189,6.836
1716779400,43.4,97.0,976.12,86.246,29.9,29.9,6527.646000000001,1915.034,289.14300000000003,21.562,4.785
1716965400,47.0,97.0,973.13,66.21,38.9,38.9,7689.64,2273.465,412.775,32.95,7.93
1715584800,47.0,97.0,972.758,106.168,33.0,33.0,7788.21,2252.473,304.048,28.734,7.040000000000001
1716181200,41.6,97.0,973.728,98.728,12.2,12.2,2806.974,814.311,116.635,11.867,4.109
1712893800,47.6,97.0,974.438,115.594,13.1,13.1,2636.667,779.047,130.174,5.204,0.975
1713679200,50.2,97.0,972.472,62.966,5.0,5.0,1203.444,349.476,44.856,3.832,1.787
1712718000,46.6,97.0,975.884,58.81,23.8,23.8,4678.265,1380.624,245.959,12.522,2.182
1716180000,42.4,97.0,973.922,72.19,11.3,11.3,2679.852,776.5360000000001,105.242,11.216,3.736
1713940800,52.4,97.0,972.46,74.438,19.7,19.7,3996.17,1176.087,207.166,18.351,5.388999999999999
1716098400,39.8,97.0,972.348,60.488,6.1,6.1,1530.465,440.555,54.037000000000006,5.973,3.093
1716616200,43.2,97.0,974.598,79.968,10.7,10.7,2705.772,779.485,87.452,5.819,2.124
1714185600,49.4,97.0,974.254,69.13,23.7,23.7,4654.921,1374.1419999999998,246.904,14.306,2.758
1716867600,42.5,97.0,975.445,95.067,52.5,52.5,10067.4245,2989.0875,571.7015,45.68,10.957999999999998
1715916600,45.25,97.0,975.533,67.192,12.3,12.3,3045.7565,881.9290000000001,103.488,6.6945,2.279
1716005400,43.0,97.0,974.666,65.304,10.9,10.9,2738.785,790.127,89.953,5.332,1.942
1713581400,48.2,97.0,974.026,56.552,3.9,3.9,1060.1709999999998,303.108,29.789,2.48,1.13
1714636800,46.6,97.0,972.49,66.868,12.7,12.7,2712.822,786.172,132.48899999999998,14.875,5.187
1716097800,39.8,97.0,972.428,60.154,5.8,5.8,1520.205,433.257,48.07,4.644,1.892
1716610200,46.2,97.0,975.852,79.564,16.8,16.8,3730.765,1089.808,160.298,12.321000000000002,3.766
1716795000,46.0,97.0,973.638,78.578,27.5,27.5,6324.099,1847.97,250.543,16.861,4.614
1714362600,46.4,97.0,974.92,61.656,4.3,4.3,1021.329,293.851,41.913,6.329000000000001,2.911
1713927600,50.0,97.0,974.79,81.35,16.2,16.2,3483.337,1016.205,155.085,7.335,1.623
1716611400,44.4,97.0,975.624,72.49,10.6,10.6,2645.824,763.588,88.19200000000001,6.118,2.328
1712896200,50.4,97.0,973.806,82.068,29.0,29.0,6766.016,1967.741,262.14,17.482999999999997,2.502
1715581200,46.2,97.0,973.136,89.492,37.0,37.0,8090.398,2366.267,367.614,35.128,9.464
1715238600,47.6,97.0,973.708,72.582,13.6,13.6,2987.54,869.788,141.738,18.649,5.947
1716177000,42.8,97.0,974.52,73.046,9.8,9.8,2277.262,661.71,91.649,9.305,3.824
1716018600,43.2,97.0,972.26,66.45,15.1,15.1,3514.377,1018.168,138.256,11.09,3.115
1712977800,48.6,97.0,974.97,90.172,9.8,9.8,2330.2929999999997,674.145,83.912,3.1929999999999996,0.953
1716879000,47.0,97.0,973.022,83.68,28.3,28.3,5999.445,1765.838,282.754,22.232,5.170999999999999
1716693000,41.0,97.0,977.402,67.59,11.7,11.7,2887.426,832.759,100.739,7.282,2.569
1714621200,45.6,97.0,974.85,67.968,6.6,6.6,1645.508,471.365,56.795,5.503,2.4130000000000003
1714449600,47.0,97.0,974.166,68.4,20.8,20.8,4468.792,1308.561,203.511,13.197,3.744
1715831400,43.2,97.0,975.856,84.978,11.9,11.9,2860.528,827.182,105.721,8.981,2.634
1713666600,50.2,97.0,974.844,69.964,15.3,15.3,3518.5879999999997,1021.911,142.104,11.009,2.999
1715583600,47.6,97.0,972.988,94.556,38.3,38.3,8708.189999999999,2537.2650000000003,366.314,34.355999999999995,6.586
1715227200,46.8,97.0,975.966,67.028,10.0,10.0,2427.1859999999997,698.658,87.33500000000001,6.2780000000000005,2.159
1713586800,41.6,101.0,972.85,67.802,15.1,15.1,3362.711,978.849,143.449,9.51,1.889
1715407800,42.4,101.0,974.792,79.688,15.9,15.9,3663.735,1063.897,144.59500000000003,9.024,3.1870000000000003
1716787200,42.0,101.0,974.538,70.252,23.7,23.7,5748.563,1668.814,205.925,15.772,4.139
1715314800,36.8,101.0,974.634,83.962,29.2,29.2,5924.951999999999,1745.466,296.927,18.402,3.704
1711863000,43.6,101.0,975.934,78.234,7.8,7.8,1924.401,549.246,66.643,4.282,1.51
1715667000,41.0,101.0,973.377,79.573,16.8,16.8,4042.208,1171.2415,146.6385,10.0885,2.96
1713848400,44.0,101.0,972.586,76.936,18.2,18.2,4175.395,1216.457,170.764,14.508,2.935
1715660400,37.5,101.0,974.413,88.485,22.6,22.6,5185.745000000001,1517.7195000000002,207.45,14.2275,3.621
1713590400,47.0,101.0,971.778,64.24,7.4,7.4,1706.154,493.817,67.817,5.013999999999999,1.987
1712724600,43.8,101.0,974.222,70.896,25.6,25.6,5165.216,1524.429,258.196,12.917,2.457
1716436800,39.4,101.0,974.464,70.874,37.2,37.2,7598.847,2249.3959999999997,378.945,25.939,5.59
1714716600,41.6,101.0,972.83,68.138,25.5,25.5,4570.25,1359.429,311.221,41.928,12.313
1713152400,42.6,101.0,976.692,81.984,14.7,14.7,3589.87,1035.747,122.258,5.24,1.506
1713160800,43.0,101.0,975.178,73.88,13.4,13.4,3152.999,912.588,118.037,6.462,2.541
1714107000,42.6,101.0,972.52,69.534,14.0,14.0,3276.243,955.054,122.675,6.302,2.02
1714192200,44.5,101.0,973.545,57.72,20.0,20.0,4048.57,1194.085,202.37,11.23,2.625
1715668800,42.8,101.0,973.214,89.902,18.9,18.9,4441.076999999999,1287.892,171.25,13.146999999999998,4.023
1715496000,39.4,101.0,973.858,74.546,15.0,15.0,3494.665,1016.549,133.216,7.215,2.085
1714279800,45.333,101.0,974.387,70.367,10.2,10.2,2328.8165,678.8265,91.5135,3.978,1.493
